,x_coord,y_coord,geometry,h_distance,Year,Elevation,sectionId
89,401834.6155808542,5755904.648248554,POINT (401834.6155808542 5755904.648248554),-4.362549800732811,DTM_2018,80.29666900634766,Chainage 225
90,401834.72266562947,5755904.701336579,POINT (401834.7226656295 5755904.701336579),-4.243027888446919,DTM_2018,80.24297332763672,Chainage 225
91,401834.82975040475,5755904.754424605,POINT (401834.8297504048 5755904.754424605),-4.1235059761610255,DTM_2018,80.24297332763672,Chainage 225
92,401834.93683518004,5755904.80751263,POINT (401834.93683518 5755904.80751263),-4.003984063875132,DTM_2018,80.1780014038086,Chainage 225
93,401835.04391995526,5755904.860600655,POINT (401835.0439199553 5755904.860600655),-3.8844621516413884,DTM_2018,80.14833068847656,Chainage 225
94,401835.15100473055,5755904.913688681,POINT (401835.1510047305 5755904.913688681),-3.764940238941829,DTM_2018,80.14833068847656,Chainage 225
95,401835.25808950583,5755904.966776706,POINT (401835.2580895058 5755904.966776706),-3.6454183266559355,DTM_2018,80.07499694824219,Chainage 225
96,401835.3651742811,5755905.0198647315,POINT (401835.3651742811 5755905.019864731),-3.5258964143700418,DTM_2018,80.01205444335938,Chainage 225
97,401835.4722590564,5755905.072952757,POINT (401835.4722590564 5755905.072952757),-3.406374502084148,DTM_2018,79.97469329833984,Chainage 225
98,401835.57934383163,5755905.126040782,POINT (401835.5793438316 5755905.126040782),-3.2868525898504046,DTM_2018,79.95777893066406,Chainage 225
99,401835.6864286069,5755905.179128808,POINT (401835.6864286069 5755905.179128808),-3.167330677150847,DTM_2018,79.92153930664062,Chainage 225
100,401835.7935133822,5755905.232216833,POINT (401835.7935133822 5755905.232216833),-3.0478087648649517,DTM_2018,79.81999969482422,Chainage 225
101,401835.9005981575,5755905.285304858,POINT (401835.9005981575 5755905.285304858),-2.9282868525790597,DTM_2018,79.81999969482422,Chainage 225
102,401836.0076829327,5755905.338392884,POINT (401836.0076829327 5755905.338392884),-2.8087649403453163,DTM_2018,79.77171325683594,Chainage 225
103,401836.114767708,5755905.391480909,POINT (401836.114767708 5755905.391480909),-2.6892430280594226,DTM_2018,79.67388916015625,Chainage 225
104,401836.2218524833,5755905.444568934,POINT (401836.2218524833 5755905.444568934),-2.5697211157735307,DTM_2018,79.58333587646484,Chainage 225
105,401836.3289372586,5755905.49765696,POINT (401836.3289372586 5755905.49765696),-2.4501992030739697,DTM_2018,79.58333587646484,Chainage 225
106,401836.43602203386,5755905.550744985,POINT (401836.4360220339 5755905.550744985),-2.330677290788076,DTM_2018,79.42571258544922,Chainage 225
107,401836.5431068091,5755905.60383301,POINT (401836.5431068091 5755905.60383301),-2.2111553785543343,DTM_2018,79.28624725341797,Chainage 225
108,401836.65019158437,5755905.656921036,POINT (401836.6501915844 5755905.656921036),-2.0916334662684406,DTM_2018,79.28624725341797,Chainage 225
109,401836.75727635965,5755905.710009061,POINT (401836.7572763597 5755905.710009061),-1.972111553982547,DTM_2018,79.07499694824219,Chainage 225
